단축코드,한글 종목약명,상장일,시장구분,증권구분,주식종류,액면가,상장주식수
98120,마이크로컨텍솔,2008-09-23,KOSDAQ,주권,보통주,500,8312766
9520,포스코엠텍,1997-11-10,KOSDAQ GLOBAL,주권,보통주,500,41642703
95570,AJ네트웍스,2015-08-21,KOSPI,주권,보통주,1000,45252759
6840,AK홀딩스,1999-08-11,KOSPI,주권,보통주,5000,13247561
282330,BGF리테일,2017-12-08,KOSPI,주권,보통주,1000,17283906
27410,BGF,2014-05-19,KOSPI,주권,보통주,1000,95716791
138930,BNK금융지주,2011-03-30,KOSPI,주권,보통주,5000,314425154
1465,BYC우,1989-09-05,KOSPI,주권,구형우선주,500,2153850
1460,BYC,1975-06-02,KOSPI,주권,보통주,500,6246150
1045,CJ우,1989-08-18,KOSPI,주권,구형우선주,5000,2260223
00104K,CJ4우(전환),2019-08-09,KOSPI,주권,신형우선주,5000,4226512
1040,CJ,1973-06-29,KOSPI,주권,보통주,5000,29176998
11155,CJ씨푸드1우,1990-01-13,KOSPI,주권,구형우선주,500,200000
11150,CJ씨푸드,1988-11-26,KOSPI,주권,보통주,500,35930773
58820,CMG제약,2001-08-31,KOSDAQ,주권,보통주,500,147842183
590,CS홀딩스,1975-12-22,KOSPI,주권,보통주,5000,1154482
12030,DB,1993-01-06,KOSPI,주권,보통주,500,201173933
5830,DB손해보험,1973-06-28,KOSPI,주권,보통주,500,70800000
16610,DB증권,1988-06-27,KOSPI,주권,보통주,5000,42446389
990,DB하이텍,1975-12-12,KOSPI,주권,보통주,5000,43504588
1530,DI동일,1964-01-04,KOSPI,주권,보통주,500,19729280
215,DL우,1989-08-21,KOSPI,주권,구형우선주,5000,1686115
210,DL,1976-02-02,KOSPI,주권,보통주,5000,20955884
37550K,DL이앤씨우,2021-01-25,KOSPI,주권,종류주권,5000,2113885
37550L,DL이앤씨2우(전환),2022-04-28,KOSPI,주권,신형우선주,5000,2111951
375500,DL이앤씨,2021-01-25,KOSPI,주권,보통주,5000,38693623
155660,DSR,2013-05-15,KOSPI,주권,보통주,500,16000000
69730,DSR제강,2003-01-28,KOSPI,주권,보통주,500,14400000
17860,DS단석,2023-12-22,KOSPI,주권,보통주,500,17584212
17940,E1,1997-08-27,KOSPI,주권,보통주,5000,6860000
365550,ESR켄달스퀘어리츠,2020-12-23,KOSPI,부동산투자회사,보통주,1000,246089000
50120,ES큐브,2002-04-25,KOSDAQ,주권,보통주,5000,13564086
383220,F&F,2021-05-21,KOSPI,주권,보통주,100,38307075
7700,F&F홀딩스,1984-10-04,KOSPI,주권,보통주,500,39114367
78935,GS우,2004-08-05,KOSPI,주권,구형우선주,5000,1784826
6360,GS건설,1981-08-03,KOSPI,주권,보통주,5000,85581490
78930,GS,2004-08-05,KOSPI,주권,보통주,5000,92915378
12630,HDC,1996-10-16,KOSPI,주권,보통주,5000,59741721
294870,HDC현대산업개발,2018-06-12,KOSPI,주권,보통주,5000,65907330
97230,HJ중공업,2007-08-31,KOSPI,주권,보통주,5000,90295344
14790,HL D&I,1994-08-12,KOSPI,주권,보통주,5000,37858601
24850,HLB이노베이션,2001-01-18,KOSDAQ,주권,보통주,500,144536112
204320,HL만도,2014-10-06,KOSPI,주권,보통주,1000,46957120
60980,HL홀딩스,2010-05-19,KOSPI,주권,보통주,5000,9213477
35000,HS애드,1999-08-11,KOSPI,주권,보통주,1000,16207644
3560,IHQ,1973-12-18,KOSPI,주권,보통주,500,7083730
15360,INVENI,1996-12-24,KOSPI,주권,보통주,5000,5700000
175330,JB금융지주,2013-07-18,KOSPI,주권,보통주,5000,189884601
234080,JW생명과학,2016-10-27,KOSPI,주권,보통주,2500,15834554
1065,JW중외제약우,1994-10-21,KOSPI,주권,구형우선주,2500,341951
1067,JW중외제약2우B,1998-04-13,KOSPI,주권,신형우선주,2500,209973
1060,JW중외제약,1976-06-14,KOSPI,주권,보통주,2500,23285930
96760,JW홀딩스,2007-07-31,KOSPI,주권,보통주,500,73924942
105560,KB금융,2008-10-10,KOSPI,주권,보통주,5000,381462103
432320,KB스타리츠,2022-10-06,KOSPI,부동산투자회사,보통주,500,101414285
24120,KB오토시스,1994-12-07,KOSDAQ,주권,보통주,500,11500000
9070,KCTC,1978-09-29,KOSPI,주권,보통주,500,30000000
44180,KD,2000-11-16,KOSDAQ,주권,보통주,500,26717799
3620,KG모빌리티,1975-05-29,KOSPI,주권,보통주,1000,202374912
16380,KG스틸,1986-02-03,KOSPI,주권,보통주,5000,100008897
1390,KG케미칼,1989-08-25,KOSPI,주권,보통주,1000,67233030
33180,KH 필룩스,2001-12-26,KOSPI,주권,보통주,100,26020020
1940,KISCO홀딩스,1989-11-13,KOSPI,주권,보통주,1000,14176380
25000,KPX케미칼,1994-12-27,KOSPI,주권,보통주,5000,4840000
92230,KPX홀딩스,2006-10-12,KOSPI,주권,보통주,5000,4224646
40,KR모터스,1976-05-25,KOSPI,주권,보통주,500,86375184
93050,LF,2006-12-01,KOSPI,주권,보통주,5000,29240000
3555,LG우,1988-11-18,KOSPI,주권,구형우선주,5000,3011199
34220,LG디스플레이,2004-07-23,KOSPI,주권,보통주,5000,500000000
3550,LG,1970-02-13,KOSPI,주권,보통주,5000,154221585
51905,LG생활건강우,2001-04-25,KOSPI,주권,구형우선주,5000,2099697
51900,LG생활건강,2001-04-25,KOSPI,주권,보통주,5000,15302459
373220,LG에너지솔루션,2022-01-27,KOSPI,주권,보통주,500,234000000
32640,LG유플러스,2008-04-21,KOSPI,주권,보통주,5000,429828355
11070,LG이노텍,2008-07-24,KOSPI,주권,보통주,5000,23667107
66575,LG전자우,2002-04-22,KOSPI,주권,구형우선주,5000,17185992
66570,LG전자,2002-04-22,KOSPI,주권,보통주,5000,162886387
51915,LG화학우,2001-04-25,KOSPI,주권,구형우선주,5000,7688800
51910,LG화학,2001-04-25,KOSPI,주권,보통주,5000,70592343
79550,LIG넥스원,2015-10-02,KOSPI,주권,보통주,5000,22000000
10120,LS ELECTRIC,1994-07-11,KOSPI,주권,보통주,5000,30000000
680,LS네트웍스,1973-11-15,KOSPI,주권,보통주,5000,78803016
6260,LS,1977-06-30,KOSPI,주권,보통주,5000,31700000
229640,LS에코에너지,2016-09-22,KOSPI,주권,보통주,500,30624879
